user_id,country,join_date,age
1,China,3/12/2018,27
2,Czech Republic,8/8/2018,25
3,Argentina,6/4/2018,25
4,Colombia,11/3/2018,39
5,Nigeria,4/8/2018,27
6,Indonesia,10/23/2018,46
7,Russia,3/4/2018,30
8,Indonesia,3/21/2018,21
9,China,12/23/2018,25
10,Nepal,3/21/2018,49
11,Peru,2/23/2018,25
12,Indonesia,8/30/2018,28
13,Russia,4/20/2018,22
14,Israel,2/1/2018,46
15,Russia,9/2/2018,21
16,Austria,11/28/2018,44
17,Indonesia,1/2/2018,40
18,Ecuador,4/15/2018,44
19,Indonesia,5/13/2018,44
20,China,7/15/2018,20
21,Indonesia,6/23/2018,49
22,Indonesia,7/9/2018,20
23,Brazil,8/2/2018,36
24,Kazakhstan,8/10/2018,49
25,China,1/13/2018,24
26,Japan,5/21/2018,28
27,Portugal,1/19/2018,20
28,China,12/21/2018,33
29,Philippines,7/10/2018,45
30,Poland,11/26/2018,24
31,China,9/18/2018,43
32,Serbia,3/13/2018,21
33,Nigeria,11/25/2018,42
34,Philippines,5/2/2018,25
35,Mexico,7/8/2018,40
36,Nicaragua,9/1/2018,19
37,Czech Republic,1/12/2018,32
38,France,12/29/2018,49
39,Kosovo,3/6/2018,50
40,Indonesia,8/8/2018,45
41,Indonesia,8/26/2018,34
42,Indonesia,8/3/2018,32
43,Sri Lanka,11/29/2018,44
44,Myanmar,12/29/2018,35
45,Norway,11/20/2018,46
46,Egypt,5/31/2018,44
47,Tanzania,10/1/2018,50
48,Syria,2/17/2018,44
49,China,5/16/2018,23
50,United Kingdom,12/17/2018,23
51,Sweden,12/8/2018,27
52,Ireland,1/27/2018,39
53,Albania,5/2/2018,32
54,China,3/4/2018,30
55,Indonesia,1/16/2018,19
56,Brazil,12/18/2018,18
57,Czech Republic,6/8/2018,44
58,China,1/23/2018,29
59,Indonesia,2/24/2018,19
60,Sweden,4/16/2018,31
61,Comoros,5/28/2018,36
62,France,10/1/2018,18
63,Malaysia,11/11/2018,43
64,Russia,5/29/2018,27
65,China,7/13/2018,46
66,China,9/19/2018,38
67,South Korea,3/10/2018,37
68,China,2/16/2018,39
69,Indonesia,8/6/2018,26
70,South Korea,5/16/2018,19
71,China,5/29/2018,44
72,Indonesia,4/3/2018,45
73,Poland,12/20/2018,47
74,France,11/18/2018,47
75,China,11/2/2018,22
76,Kyrgyzstan,2/15/2018,48
77,Morocco,4/26/2018,49
78,China,5/7/2018,41
79,Bulgaria,4/7/2018,24
80,Russia,12/12/2018,32
81,Portugal,10/4/2018,29
82,Philippines,9/19/2018,37
83,Afghanistan,5/20/2018,20
84,Guatemala,3/7/2018,38
85,Colombia,2/26/2018,22
86,Mexico,8/10/2018,27
87,Nigeria,8/10/2018,26
88,China,1/14/2018,33
89,Morocco,10/10/2018,27
90,Philippines,10/27/2018,45
